,dist_code,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev,district,Mmm,quarter,fiscal_year,fuel_type_petrol,fuel_type_diesel,fuel_type_electric,fuel_type_others,vehicleClass_MotorCycle,vehicleClass_MotorCar,vehicleClass_AutoRickshaw,vehicleClass_Agriculture,vehicleClass_others,seatCapacity_1_to_3,seatCapacity_4_to_6,seatCapacity_above_6,Brand_new_vehicles,Pre-owned_vehicles,category_Non-Transport,category_Transport,sector,investment in cr,number_of_employees
0,14_1,2019-04-01,4533,59236363,0,0,Mahabubnagar,Apr,Q1,2019,4550,660,0,0,4431,264,193,84,238,4714,450,44,5104,106,4802,408,Engineering,2.32,15
1,14_1,2019-04-01,4533,59236363,0,0,Mahabubnagar,Apr,Q1,2019,4550,660,0,0,4431,264,193,84,238,4714,450,44,5104,106,4802,408,Paper and Printing,14.4,305
2,17_3,2019-04-01,4151,41508762,0,0,Siddipet,Apr,Q1,2019,3112,496,0,0,3038,233,70,72,195,3276,279,53,3470,138,3353,255,Food Processing,3.29,30
3,20_3,2019-04-01,2116,23674170,0,0,Rajanna Sircilla,Apr,Q1,2019,1577,215,0,0,1546,79,29,21,117,1683,104,5,1751,41,1648,144,Wood and Leather,0.2,8
4,20_3,2019-04-01,2116,23674170,0,0,Rajanna Sircilla,Apr,Q1,2019,1577,215,0,0,1546,79,29,21,117,1683,104,5,1751,41,1648,144,Textiles,0.2675,27
5,20_3,2019-04-01,2116,23674170,0,0,Rajanna Sircilla,Apr,Q1,2019,1577,215,0,0,1546,79,29,21,117,1683,104,5,1751,41,1648,144,Plastic and Rubber,0.15,4
6,20_3,2019-04-01,2116,23674170,0,0,Rajanna Sircilla,Apr,Q1,2019,1577,215,0,0,1546,79,29,21,117,1683,104,5,1751,41,1648,144,Paper and Printing,0.2,10
7,20_3,2019-04-01,2116,23674170,0,0,Rajanna Sircilla,Apr,Q1,2019,1577,215,0,0,1546,79,29,21,117,1683,104,5,1751,41,1648,144,Food Processing,2.02,12
8,20_3,2019-04-01,2116,23674170,0,0,Rajanna Sircilla,Apr,Q1,2019,1577,215,0,0,1546,79,29,21,117,1683,104,5,1751,41,1648,144,Engineering,0.155,6
9,20_3,2019-04-01,2116,23674170,0,0,Rajanna Sircilla,Apr,Q1,2019,1577,215,0,0,1546,79,29,21,117,1683,104,5,1751,41,1648,144,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.62,28
